,Unnamed: 0.1,Fecha, Temperatura (°C), Humedad (%),Hora
309,309,28/9/2022,35.4,32.8,28/9/2022
310,310,28/9/2022,35.3,32.8,28/9/2022
311,311,28/9/2022,35.2,32.8,28/9/2022
312,312,28/9/2022,35.1,33.0,28/9/2022
313,313,28/9/2022,35.1,33.2,28/9/2022
314,314,28/9/2022,34.9,33.3,28/9/2022
315,315,28/9/2022,34.9,33.5,28/9/2022
316,316,28/9/2022,34.8,33.6,28/9/2022
317,317,28/9/2022,34.8,33.9,28/9/2022
318,318,28/9/2022,34.7,33.9,28/9/2022
319,319,28/9/2022,34.6,34.0,28/9/2022
320,320,28/9/2022,34.7,34.1,28/9/2022
321,321,28/9/2022,34.6,34.1,28/9/2022
322,322,28/9/2022,34.6,34.2,28/9/2022
323,323,28/9/2022,34.6,34.2,28/9/2022
324,324,28/9/2022,34.6,34.0,28/9/2022
325,325,28/9/2022,34.7,34.0,28/9/2022
326,326,28/9/2022,34.6,33.8,28/9/2022
327,327,28/9/2022,34.7,33.7,28/9/2022
328,328,28/9/2022,34.6,33.4,28/9/2022
329,329,28/9/2022,34.6,33.8,28/9/2022
330,330,28/9/2022,34.5,33.6,28/9/2022
331,331,28/9/2022,34.5,33.6,28/9/2022
332,332,28/9/2022,34.5,33.6,28/9/2022
333,333,28/9/2022,34.4,33.7,28/9/2022
334,334,28/9/2022,34.4,33.9,28/9/2022
335,335,28/9/2022,34.3,34.0,28/9/2022
336,336,28/9/2022,34.2,33.9,28/9/2022
337,337,28/9/2022,34.2,34.1,28/9/2022
338,338,28/9/2022,34.2,34.2,28/9/2022
339,339,28/9/2022,34.2,34.5,28/9/2022
340,340,28/9/2022,34.2,34.6,28/9/2022
341,341,28/9/2022,34.1,34.5,28/9/2022
342,342,28/9/2022,34.1,34.5,28/9/2022
343,343,28/9/2022,34.0,34.3,28/9/2022
344,344,28/9/2022,33.9,34.4,28/9/2022
345,345,28/9/2022,33.9,34.4,28/9/2022
346,346,28/9/2022,33.8,34.0,28/9/2022
347,347,28/9/2022,33.8,33.9,28/9/2022
348,348,28/9/2022,33.8,34.0,28/9/2022
349,349,28/9/2022,33.7,34.1,28/9/2022
350,350,28/9/2022,33.7,33.9,28/9/2022
351,351,28/9/2022,33.7,34.0,28/9/2022
352,352,28/9/2022,33.6,34.0,28/9/2022
353,353,28/9/2022,33.7,34.2,28/9/2022
354,354,28/9/2022,33.7,34.7,28/9/2022
355,355,28/9/2022,33.7,34.2,28/9/2022
356,356,28/9/2022,33.6,34.4,28/9/2022
357,357,28/9/2022,33.6,34.7,28/9/2022
358,358,28/9/2022,33.6,34.9,28/9/2022
359,359,28/9/2022,33.6,35.1,28/9/2022
360,360,28/9/2022,33.6,34.7,28/9/2022
361,361,28/9/2022,33.6,35.0,28/9/2022
362,362,28/9/2022,33.6,34.9,28/9/2022
363,363,28/9/2022,33.6,34.9,28/9/2022
364,364,28/9/2022,33.6,35.0,28/9/2022
365,365,28/9/2022,33.6,35.1,28/9/2022
366,366,28/9/2022,33.6,35.1,28/9/2022
367,367,28/9/2022,33.6,35.2,28/9/2022
368,368,28/9/2022,33.6,35.3,28/9/2022
369,369,28/9/2022,33.6,35.0,28/9/2022
370,370,28/9/2022,33.6,35.3,28/9/2022
371,371,28/9/2022,33.6,35.3,28/9/2022
372,372,28/9/2022,33.6,35.1,28/9/2022
373,373,28/9/2022,33.6,34.8,28/9/2022
374,374,28/9/2022,33.6,35.3,28/9/2022
375,375,28/9/2022,33.5,35.2,28/9/2022
376,376,28/9/2022,33.3,35.3,28/9/2022
377,377,28/9/2022,33.2,35.2,28/9/2022
378,378,28/9/2022,33.1,35.2,28/9/2022
379,379,28/9/2022,33.1,35.2,28/9/2022
380,380,28/9/2022,33.1,35.5,28/9/2022
381,381,28/9/2022,33.1,35.4,28/9/2022
382,382,28/9/2022,33.1,35.7,28/9/2022
383,383,28/9/2022,33.1,35.5,28/9/2022
384,384,28/9/2022,33.1,35.8,28/9/2022
385,385,28/9/2022,33.1,35.9,28/9/2022
386,386,28/9/2022,33.1,36.0,28/9/2022
387,387,28/9/2022,33.1,35.8,28/9/2022
388,388,28/9/2022,33.2,35.2,28/9/2022
389,389,28/9/2022,33.2,35.1,28/9/2022
390,390,28/9/2022,33.2,35.3,28/9/2022
391,391,28/9/2022,33.2,35.5,28/9/2022
392,392,28/9/2022,33.2,35.4,28/9/2022
393,393,28/9/2022,33.2,35.2,28/9/2022
394,394,28/9/2022,33.2,35.4,28/9/2022
395,395,28/9/2022,33.1,35.6,28/9/2022
396,396,28/9/2022,33.1,35.9,28/9/2022
397,397,28/9/2022,33.1,35.6,28/9/2022
398,398,28/9/2022,33.0,35.9,28/9/2022
399,399,28/9/2022,33.0,36.1,28/9/2022
400,400,28/9/2022,33.0,36.3,28/9/2022
401,401,28/9/2022,33.0,36.3,28/9/2022
402,402,28/9/2022,32.9,40.0,28/9/2022
403,403,28/9/2022,32.7,36.6,28/9/2022
404,404,28/9/2022,32.7,44.6,28/9/2022
405,405,28/9/2022,32.6,44.7,28/9/2022
406,406,28/9/2022,32.6,46.0,28/9/2022
407,407,28/9/2022,32.4,36.8,28/9/2022
408,408,28/9/2022,32.4,36.7,28/9/2022
409,409,28/9/2022,32.4,37.1,28/9/2022
410,410,28/9/2022,32.3,37.4,28/9/2022
411,411,28/9/2022,32.3,37.4,28/9/2022
412,412,28/9/2022,32.3,37.5,28/9/2022
413,413,28/9/2022,32.2,38.0,28/9/2022
414,414,28/9/2022,32.2,38.2,28/9/2022
415,415,28/9/2022,32.1,38.9,28/9/2022
416,416,28/9/2022,32.1,38.0,28/9/2022
417,417,28/9/2022,32.0,37.5,28/9/2022
418,418,28/9/2022,31.9,37.4,28/9/2022
419,419,28/9/2022,31.8,37.6,28/9/2022
420,420,28/9/2022,31.8,38.3,28/9/2022
421,421,28/9/2022,31.8,39.5,28/9/2022
422,422,28/9/2022,31.8,40.6,28/9/2022
423,423,28/9/2022,31.9,38.5,28/9/2022
424,424,28/9/2022,31.9,39.5,28/9/2022
425,425,28/9/2022,31.9,39.6,28/9/2022
