,Unnamed: 0.1, Temperatura (C), Humedad (%),Fecha,Hora
375,375,28.9,52.7,24/10/2022,24/10/2022
376,376,29.0,52.4,24/10/2022,24/10/2022
377,377,29.1,52.3,24/10/2022,24/10/2022
378,378,29.3,52.1,24/10/2022,24/10/2022
379,379,29.4,52.0,24/10/2022,24/10/2022
380,380,29.5,52.7,24/10/2022,24/10/2022
381,381,29.6,52.3,24/10/2022,24/10/2022
382,382,29.8,52.1,24/10/2022,24/10/2022
383,383,30.0,51.8,24/10/2022,24/10/2022
384,384,30.1,51.2,24/10/2022,24/10/2022
385,385,30.2,50.9,24/10/2022,24/10/2022
386,386,30.3,50.0,24/10/2022,24/10/2022
387,387,30.5,49.7,24/10/2022,24/10/2022
388,388,30.6,49.5,24/10/2022,24/10/2022
389,389,30.8,49.1,24/10/2022,24/10/2022
390,390,30.9,48.6,24/10/2022,24/10/2022
391,391,31.0,47.7,24/10/2022,24/10/2022
392,392,31.1,47.3,24/10/2022,24/10/2022
393,393,31.2,47.4,24/10/2022,24/10/2022
394,394,31.2,47.1,24/10/2022,24/10/2022
395,395,31.1,46.8,24/10/2022,24/10/2022
396,396,31.0,47.1,24/10/2022,24/10/2022
397,397,31.0,47.1,24/10/2022,24/10/2022
398,398,31.1,47.0,24/10/2022,24/10/2022
399,399,31.3,46.8,24/10/2022,24/10/2022
400,400,31.4,46.5,24/10/2022,24/10/2022
401,401,31.5,46.2,24/10/2022,24/10/2022
402,402,31.7,46.4,24/10/2022,24/10/2022
403,403,31.9,46.1,24/10/2022,24/10/2022
404,404,32.0,45.7,24/10/2022,24/10/2022
405,405,32.2,45.5,24/10/2022,24/10/2022
406,406,32.3,45.3,24/10/2022,24/10/2022
407,407,32.2,44.8,24/10/2022,24/10/2022
408,408,32.2,44.6,24/10/2022,24/10/2022
409,409,32.3,44.6,24/10/2022,24/10/2022
410,410,32.3,44.5,24/10/2022,24/10/2022
411,411,32.2,44.2,24/10/2022,24/10/2022
412,412,32.3,44.1,24/10/2022,24/10/2022
413,413,32.5,44.1,24/10/2022,24/10/2022
414,414,32.6,43.9,24/10/2022,24/10/2022
415,415,32.7,43.8,24/10/2022,24/10/2022
416,416,32.8,43.5,24/10/2022,24/10/2022
417,417,32.9,43.2,24/10/2022,24/10/2022
418,418,32.9,43.3,24/10/2022,24/10/2022
419,419,32.8,43.1,24/10/2022,24/10/2022
420,420,32.9,43.0,24/10/2022,24/10/2022
421,421,33.0,42.9,24/10/2022,24/10/2022
422,422,33.0,43.0,24/10/2022,24/10/2022
423,423,33.1,42.8,24/10/2022,24/10/2022
424,424,33.2,42.7,24/10/2022,24/10/2022
425,425,33.2,42.5,24/10/2022,24/10/2022
426,426,33.3,42.6,24/10/2022,24/10/2022
427,427,33.3,42.3,24/10/2022,24/10/2022
428,428,33.4,42.0,24/10/2022,24/10/2022
429,429,33.4,41.9,24/10/2022,24/10/2022
430,430,33.4,41.8,24/10/2022,24/10/2022
431,431,33.4,41.9,24/10/2022,24/10/2022
432,432,33.4,42.1,24/10/2022,24/10/2022
433,433,33.4,42.0,24/10/2022,24/10/2022
434,434,33.4,41.8,24/10/2022,24/10/2022
435,435,33.4,41.9,24/10/2022,24/10/2022
436,436,33.4,41.7,24/10/2022,24/10/2022
437,437,33.5,41.8,24/10/2022,24/10/2022
438,438,33.7,41.6,24/10/2022,24/10/2022
439,439,33.9,41.3,24/10/2022,24/10/2022
440,440,34.0,41.0,24/10/2022,24/10/2022
441,441,34.1,41.0,24/10/2022,24/10/2022
442,442,34.2,40.9,24/10/2022,24/10/2022
443,443,34.3,40.8,24/10/2022,24/10/2022
444,444,34.4,40.9,24/10/2022,24/10/2022
445,445,34.5,40.7,24/10/2022,24/10/2022
446,446,34.4,40.6,24/10/2022,24/10/2022
447,447,34.3,40.9,24/10/2022,24/10/2022
448,448,34.2,40.7,24/10/2022,24/10/2022
449,449,34.1,39.7,24/10/2022,24/10/2022
450,450,33.7,39.5,24/10/2022,24/10/2022
451,451,33.3,39.8,24/10/2022,24/10/2022
452,452,33.0,40.3,24/10/2022,24/10/2022
453,453,32.8,40.3,24/10/2022,24/10/2022
454,454,32.8,40.7,24/10/2022,24/10/2022
455,455,32.7,41.6,24/10/2022,24/10/2022
456,456,32.6,41.8,24/10/2022,24/10/2022
457,457,32.6,42.0,24/10/2022,24/10/2022
458,458,32.4,41.6,24/10/2022,24/10/2022
459,459,32.1,41.0,24/10/2022,24/10/2022
460,460,31.8,41.7,24/10/2022,24/10/2022
461,461,31.5,42.5,24/10/2022,24/10/2022
462,462,31.3,43.1,24/10/2022,24/10/2022
463,463,31.2,43.4,24/10/2022,24/10/2022
464,464,31.2,44.2,24/10/2022,24/10/2022
465,465,31.2,44.6,24/10/2022,24/10/2022
466,466,31.3,45.3,24/10/2022,24/10/2022
467,467,31.3,45.7,24/10/2022,24/10/2022
468,468,31.3,46.0,24/10/2022,24/10/2022
469,469,31.4,46.0,24/10/2022,24/10/2022
470,470,31.4,45.8,24/10/2022,24/10/2022
471,471,31.4,45.4,24/10/2022,24/10/2022
472,472,31.4,44.9,24/10/2022,24/10/2022
473,473,31.3,44.7,24/10/2022,24/10/2022
474,474,31.1,44.5,24/10/2022,24/10/2022
475,475,30.9,44.7,24/10/2022,24/10/2022
476,476,30.9,45.1,24/10/2022,24/10/2022
477,477,30.9,45.1,24/10/2022,24/10/2022
478,478,31.0,44.9,24/10/2022,24/10/2022
479,479,31.0,44.6,24/10/2022,24/10/2022
480,480,31.1,44.4,24/10/2022,24/10/2022
481,481,31.0,44.5,24/10/2022,24/10/2022
482,482,31.0,44.5,24/10/2022,24/10/2022
483,483,30.8,44.3,24/10/2022,24/10/2022
484,484,30.6,44.5,24/10/2022,24/10/2022
485,485,30.4,44.9,24/10/2022,24/10/2022
486,486,30.4,45.3,24/10/2022,24/10/2022
487,487,30.5,45.5,24/10/2022,24/10/2022
488,488,30.6,45.7,24/10/2022,24/10/2022
489,489,30.7,45.3,24/10/2022,24/10/2022
490,490,30.6,45.3,24/10/2022,24/10/2022
491,491,30.6,45.1,24/10/2022,24/10/2022
492,492,30.7,45.3,24/10/2022,24/10/2022
493,493,30.8,45.3,24/10/2022,24/10/2022
494,494,31.0,45.4,24/10/2022,24/10/2022
495,495,31.1,45.3,24/10/2022,24/10/2022
496,496,31.2,45.0,24/10/2022,24/10/2022
497,497,31.4,44.7,24/10/2022,24/10/2022
498,498,31.5,44.6,24/10/2022,24/10/2022
499,499,31.7,44.5,24/10/2022,24/10/2022
500,500,31.8,44.1,24/10/2022,24/10/2022
501,501,31.9,43.9,24/10/2022,24/10/2022
502,502,32.0,43.7,24/10/2022,24/10/2022
503,503,32.2,43.4,24/10/2022,24/10/2022
504,504,32.3,43.2,24/10/2022,24/10/2022
505,505,32.3,43.1,24/10/2022,24/10/2022
506,506,32.4,43.1,24/10/2022,24/10/2022
507,507,32.4,42.9,24/10/2022,24/10/2022
508,508,32.4,42.9,24/10/2022,24/10/2022
509,509,32.5,42.9,24/10/2022,24/10/2022
510,510,32.5,42.7,24/10/2022,24/10/2022
511,511,32.7,42.6,24/10/2022,24/10/2022
512,512,32.7,42.4,24/10/2022,24/10/2022
513,513,32.8,42.3,24/10/2022,24/10/2022
514,514,32.9,42.2,24/10/2022,24/10/2022
515,515,33.0,41.9,24/10/2022,24/10/2022
516,516,33.1,41.8,24/10/2022,24/10/2022
517,517,33.2,41.6,24/10/2022,24/10/2022
518,518,33.3,41.5,24/10/2022,24/10/2022
519,519,33.4,41.2,24/10/2022,24/10/2022
520,520,33.4,41.2,24/10/2022,24/10/2022
521,521,33.3,40.9,24/10/2022,24/10/2022
522,522,33.5,40.8,24/10/2022,24/10/2022
523,523,33.6,40.4,24/10/2022,24/10/2022
524,524,33.6,40.3,24/10/2022,24/10/2022
525,525,33.5,40.5,24/10/2022,24/10/2022
526,526,33.4,40.7,24/10/2022,24/10/2022
527,527,33.3,40.7,24/10/2022,24/10/2022
528,528,33.2,40.7,24/10/2022,24/10/2022
529,529,33.2,40.5,24/10/2022,24/10/2022
530,530,33.2,40.1,24/10/2022,24/10/2022
531,531,33.0,40.2,24/10/2022,24/10/2022
